OBJECTID,SurveyPurp,Protocol,Gear,TotalEffor,EffortMetr,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,Basin,StationLen,AvgWidth,StationCod,SiteType,SurveyID,SpeciesCod,Status,NewStatus,sameStatus,Catch,Source,mySurveyID,NEAR_FID,NEAR_DIST,SNAPUTM_X,SNAPUTM_Y
35,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #1,13-Sep-05,550 M BLW W Polk St,6063.000000000000000,13,514721.000000000000000,4302110.000000000000000,Arkansas,455,47.8,AR0110,---,870.000000000000000,---,---,E1,E1,---,Non-USGS,514721_13-Sep-2005,6352,68.045993982839505,514787,4302092
36,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,13-Sep-05,ABV Gauge ABV Woodmen Rd (07103970),6255.000000000000000,13,515969.000000000000000,4309418.000000000000000,Arkansas,328,19.6,AR0166,---,999.000000000000000,CRC,E1,E1,E1,650,Non-USGS,515969_13-Sep-2005,4409,31.363753531268650,515987,4309392
37,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,13-Sep-05,ABV Gauge ABV Woodmen Rd (07103970),6255.000000000000000,13,515969.000000000000000,4309418.000000000000000,Arkansas,328,19.6,AR0166,---,999.000000000000000,LND,E1,E1,E1,115,Non-USGS,515969_13-Sep-2005,4409,31.363753531268650,515987,4309392
38,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,13-Sep-05,ABV Gauge ABV Woodmen Rd (07103970),6255.000000000000000,13,515969.000000000000000,4309418.000000000000000,Arkansas,328,19.6,AR0166,---,999.000000000000000,WHS,E1,E1,E1,45,Non-USGS,515969_13-Sep-2005,4409,31.363753531268650,515987,4309392
39,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,13-Sep-05,ABV Gauge ABV Woodmen Rd (07103970),6255.000000000000000,13,515969.000000000000000,4309418.000000000000000,Arkansas,328,19.6,AR0166,---,999.000000000000000,FMW,E1,E1,E1,38,Non-USGS,515969_13-Sep-2005,4409,31.363753531268650,515987,4309392
40,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,13-Sep-05,ABV Gauge ABV Woodmen Rd (07103970),6255.000000000000000,13,515969.000000000000000,4309418.000000000000000,Arkansas,328,19.6,AR0166,---,999.000000000000000,LGS,E1,E1,E1,19,Non-USGS,515969_13-Sep-2005,4409,31.363753531268650,515987,4309392
41,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,FHC,E1,E1,E1,235,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
42,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,LND,E1,E1,E1,22,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
43,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,WHS,E1,E1,E1,9,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
44,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,SAH,E1,E1,E1,9,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
45,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,LGS,E1,E1,E1,5,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
46,---,PRESENCE/ABSENCE,EF,1,PASS,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,180,92.4,AR1834,---,1446.000000000000000,RDS,E1,E1,E1,1,Non-USGS,528465_14-Sep-2005,12534,34.654888901533134,528487,4273192
47,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,FHC,E1,E1,E1,89,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
48,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,SAH,E1,E1,E1,22,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
49,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,PKF,E1,E1,E1,16,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
50,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,STR,E1,E1,E1,7,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
51,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,RDS,E1,E1,E1,6,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
52,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,WHS,E1,E1,E1,5,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
53,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,FMW,E1,E1,E1,3,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
54,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,LND,E1,E1,E1,2,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
55,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV HWY 47 Near Hwy 50 Bypass,4731.000000000000000,13,534683.000000000000000,4240064.000000000000000,Arkansas,660,64.8,AR0562,---,520.000000000000000,BST,E1,E1,E1,1,Non-USGS,534683_14-Sep-2005,19901,28.302587727463486,534687,4240092
56,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,FHC,E1,E1,E1,114,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
57,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,STR,E1,E1,E1,84,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
58,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,WHS,E1,E1,E1,31,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
59,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,BST,E1,E1,E1,21,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
60,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,SAH,E1,E1,E1,12,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
61,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,RDS,E1,E1,E1,11,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
62,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,LGS,E1,E1,E1,4,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
63,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,LND,E1,E1,E1,4,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
64,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,FMW,E1,E1,E1,3,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
65,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #2,14-Sep-05,ABV Pinon Rd,4993.000000000000000,13,535464.000000000000000,4254691.000000000000000,Arkansas,397,59,AR0147,---,722.000000000000000,ARD,E1,E1,E1,1,Non-USGS,535464_14-Sep-2005,16504,22.665699950183939,535487,4254692
66,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,LND,E1,E1,E1,29,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
67,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,LOC,E1,E1,E1,14,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
68,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,WHS,E1,E1,E1,12,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
69,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,LGS,E1,E1,E1,8,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
70,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,CRC,E1,E1,E1,7,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
71,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,FHC,E1,E1,E1,6,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
72,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW I-25 Business Loop,5899.000000000000000,13,515497.000000000000000,4296366.000000000000000,Arkansas,330,42.4,AR0550,---,104.000000000000000,FMW,E1,E1,E1,1,Non-USGS,515497_14-Sep-2005,7889,28.050512586728694,515487,4296392
73,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW Janitell Rd @ Guage,5837.000000000000000,13,517862.000000000000000,4294862.000000000000000,Arkansas,138,44.5,AR0168,---,3359.000000000000000,LND,E1,E1,E1,100,Non-USGS,517862_14-Sep-2005,8197,38.874277660133117,517887,4294892
74,---,PRESENCE/ABSENCE,BPEF,1,HOUR,00:00.0,FOUNTAIN CREEK #3,14-Sep-05,BLW Janitell Rd @ Guage,5837.000000000000000,13,517862.000000000000000,4294862.000000000000000,Arkansas,138,44.5,AR0168,---,3359.000000000000000,LGS,E1,E1,E1,3,Non-USGS,517862_14-Sep-2005,8197,38.874277660133117,517887,4294892
