SurveyPurpose,Protocol,Gear,TotalEffort,EffortMetric,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,Basin,StationLength,AvgWidth,StationCode,SiteType,SurveyID,SpeciesCode,Status,NewStatus,sameStatus,Catch,Source
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,PKF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,SNF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,CPP,1,NA,NA,1,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,SAH,1,NA,NA,173,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,RDS,1,NA,NA,116,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,FMW,1,NA,NA,76,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,SMM,1,NA,NA,3,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,FHC,1,NA,NA,2,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,CPP,1,NA,NA,1,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,PKF,1,NA,NA,1,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,Arkansas,780.8,105,AR0210,---,26440,SNF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,SAH,1,NA,NA,173,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,FMW,1,NA,NA,50,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,RDS,1,NA,NA,33,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,MSQ,1,NA,NA,10,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,FHC,1,NA,NA,4,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,PKF,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,CCF,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,SMM,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,17-Feb-2005,ABV Purgatoire River,3861,13,659857,4214692,Arkansas,449.5,89.2,AR1816,---,1328,SNF,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,RULE CREEK,17-Feb-2005,ABV HWY 101,4106,13,659983,4187305,Arkansas,1168,20.3,AR0261,---,1999,SNF,1,NA,NA,19,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,RULE CREEK,17-Feb-2005,ABV HWY 101,4106,13,659983,4187305,Arkansas,1168,20.3,AR0261,---,1999,FMW,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,18-Feb-2005,Abv & BLW Seeley St Bridge Abv La Junta WWTP  & Guage,4047,13S,628829,4205857,Arkansas,948.2,96.8,AR0211,---,1527,RDS,1,NA,NA,23,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,18-Feb-2005,Abv & BLW Seeley St Bridge Abv La Junta WWTP  & Guage,4047,13S,628829,4205857,Arkansas,948.2,96.8,AR0211,---,1527,SAH,1,NA,NA,17,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,18-Feb-2005,Abv & BLW Seeley St Bridge Abv La Junta WWTP  & Guage,4047,13S,628829,4205857,Arkansas,948.2,96.8,AR0211,---,1527,FMW,1,NA,NA,14,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,18-Feb-2005,Abv & BLW Seeley St Bridge Abv La Junta WWTP  & Guage,4047,13S,628829,4205857,Arkansas,948.2,96.8,AR0211,---,1527,FHC,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,RDS,1,NA,NA,78,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,FHC,1,NA,NA,53,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,WHS,1,NA,NA,40,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,SAH,1,NA,NA,22,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,LGS,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,LND,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,LMB,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,RBT,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,CCF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,SMB,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,PKF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,SNF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,22-Feb-2005,ABV HWY 50,4490,13,557422,4233167,Arkansas,961.3,75.8,AR0463,---,237,CPP,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,SAH,1,NA,NA,285,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,RDS,1,NA,NA,239,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,FMW,1,NA,NA,54,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,PKF,1,NA,NA,29,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,BST,1,NA,NA,22,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,ARD,1,NA,NA,19,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,FHC,1,NA,NA,14,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,SNF,1,NA,NA,8,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,MSQ,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,BGL,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,BCR,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,CPP,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2B,23-Feb-2005,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,Arkansas,607,21.7,AR1818,---,1488,OSF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,RDS,1,NA,NA,120,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,SAH,1,NA,NA,54,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,WHS,1,NA,NA,28,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,BST,1,NA,NA,27,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,CPP,1,NA,NA,25,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,LGS,1,NA,NA,9,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,LMB,1,NA,NA,9,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,LND,1,NA,NA,8,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,FHC,1,NA,NA,6,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,FMW,1,NA,NA,5,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,BBH,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,PKF,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,STR,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,23-Feb-2005,ABV S Higgins Ave,4442,13,564656,4231980,Arkansas,584,65.3,AR0460,---,1134,OSF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,RDS,1,NA,NA,82,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,STR,1,NA,NA,42,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,SAH,1,NA,NA,31,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,BST,1,NA,NA,20,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,WHS,1,NA,NA,12,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,SMB,1,NA,NA,10,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,CPP,1,NA,NA,4,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,PKF,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,LMB,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,FMW,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,LGS,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,SNF,1,NA,NA,2,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,RBT,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,LND,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,FHC,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,LOC,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,BGL,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,CCF,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,Arkansas,485.6,209.3,AR1812,---,3442,BBH,1,NA,NA,1,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,ABV Nyberg Rd (#3a),4518,13,552564,4233555,Arkansas,626.6,133.2,AR0451,---,24754,RDS,1,NA,NA,205,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,ABV Nyberg Rd (#3a),4518,13,552564,4233555,Arkansas,626.6,133.2,AR0451,---,24754,SAH,1,NA,NA,59,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,ABV Nyberg Rd (#3a),4518,13,552564,4233555,Arkansas,626.6,133.2,AR0451,---,24754,BST,1,NA,NA,8,Non-USGS
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,NOT LISTED,1,PASS,00:00.0,ARKANSAS R #3A,24-Feb-2005,ABV Nyberg Rd (#3a),4518,13,552564,4233555,Arkansas,626.6,133.2,AR0451,---,24754,WHS,1,NA,NA,6,Non-USGS
