SurveyPurpose,Protocol,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,INCLUDE,KMB COMMENTS,NewUTMX,NewUTMY,Basin,StationLength,AvgWidth,StationCode,SiteType,SurveyID,Comment,Narrative,USGS
NULL,PRESENCE/ABSENCE,28978,ARKANSAS R #3A,3/27/05,BLW Baxter Rd (ARB),4571,13,544068,4234590,,,544069,4234595,Arkansas,988,130,AR1831,NULL,1349,NULL,05-AQ458 LFL# AR05-12 SER Sample Number in related SampleF records MARK column - 3625.00305,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,3/28/05,BLW HWY 167 (#2),4304,13,585711,4221931,,,585710,4221936,Arkansas,1148,341,AR0486,NULL,547,NULL,05-AQ458 LFL# AR05-13 SER Sample Number in related SampleF records MARK column - 3717.00105,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,3/28/05,BLW Ft Lyons Headgate W HWY 71,4191,13,604481,4219457,,,604479,4219453,Arkansas,NULL,NULL,AR0430,NULL,1656,NULL,05-AQ458 LFL# AR05-14 SER Sample Number in related SampleF records MARK column - 3718.00105,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,3/29/05,450 M BLW HWY 50 ABV RR,3428,13,743387,4215357,,,743298,4215263,Arkansas,774,26.9,AR0041,NULL,44,NULL,05-AQ458 LFL# AR05-16,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,3/29/05,ABV CO RD 34.5,3680,13,695675,4218523,,,695675,4218523,Arkansas,459,44.6,AR0208,NULL,2278,NULL,05-AQ458 LFL# AR05-15 SER Sample Number in related SampleF records MARK column - 701.00405,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,28957,ARKANSAS R #1,3/29/05,125 M BLW HWY 50,3430,13,743111,4215521,,,743091,4215524,Arkansas,774,26.9,AR1517,NULL,24919,79.00405,SampleF records have SER sample number in Mark column - 79.00405,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/12/05,ABV HWY 50 North Of Lamar,3602,13,708801,4220221,,,708801,4220221,Arkansas,692.3,51.8,AR0004,NULL,388,NULL,05-AQ458 LFL# AR05-17 SER Sample Number in related SampleF records MARK column - 5.00605,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/13/05,HWY 89),3383,13,753020,4214471,,,753020,4214471,Arkansas,577.4,57.4,AR0043,NULL,263,NULL,05-AQ458 LFL# AR05-19 SER Sample Number in related SampleF records MARK column - 82.00305,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/13/05,ABV Cheyenne Creek,3348,13,759046,4213431,,,759046,4213431,Arkansas,941.6,42.3,AR1824,NULL,3482,NULL,05-AQ458 LFL# AR05-18 SER Sample Number in related SampleF records MARK column - 3719.00105,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/14/05,BLW HWY 385 Bridge,3469,13,735914,4219726,,,735914,4219726,Arkansas,498.7,60.4,AR0039,NULL,80,NULL,05-AQ458 LFL# AR05-20 SER Sample Number in related SampleF records MARK column - 77.00305,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/14/05,BLW Carlton Bridge (CO RD 19),3511,13,727033,4220597,,,727033,4220597,Arkansas,656.2,46.6,AR0038,NULL,210,NULL,05-AQ458 LFL# AR05-21 SER Sample Number in related SampleF records MARK column - 5050.00205,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/14/05,500 M BLW Manvel Canal,3569,13,719398,4219183,,,719398,4219183,Arkansas,584,53.8,AR1825,NULL,1348,NULL,05-AQ458 LFL# AR05-22 SER Sample Number in related SampleF records MARK column - 3710.00105,NO
NULL,PRESENCE/ABSENCE,28957,ARKANSAS R #1,4/15/05,ABV CO RD 13 East Of Lamar,3569,13,717494,4219444,,,717494,4219444,Arkansas,744.8,48.9,AR0003,NULL,204,NULL,05-AQ458 LFL# AR05-23 SER Sample Number in related SampleF records MARK column - 4.00305,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,5/16/05,400 M E Of Field Rd,4654,13,615249,4264589,,,615249,4264589,Arkansas,139,30.8,AR1826,NULL,2074,NULL,05-AQ458 LFL# AR05-25 SER Sample Number in related SampleF records MARK column - 334.00305,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,5/17/05,ABV HWY 194,3974,13,644389,4216513,,,644389,4216513,Arkansas,571,19.4,AR0508,NULL,556,NULL,05-AQ458 LFL# AR05-27 SER Sample Number in related SampleF records MARK column - 3703.00305,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,5/17/05,ABV CO RD 28,4192,13,625604,4228072,,,625604,4228072,Arkansas,215,40.4,AR0112,NULL,764,NULL,05-AQ458 LFL# AR05-29 SER Sample Number in related SampleF records MARK column - 278.00205,NO
NULL,PRESENCE/ABSENCE,29551,CRAMER CREEK,5/31/05,250 M BLW CO RD 9,5020,13,595714,4268325,,,595718,4268323,Arkansas,190,42,AR1828,NULL,1489,NULL,05-AQ458 LFL# AR05-32 SER Sample Number in related SampleF records MARK column - 3723.00105,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,5/31/05,425 M BLW CO RD BB,4590,13,613546,4259381,,,613546,4259381,Arkansas,159,37.1,AR1827,NULL,3443,NULL,05-AQ458 LFL# AR05-31 SER Sample Number in related SampleF records MARK column - 3720.00105,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,6/1/05,ABV CO RD 10 (#1),5596,13,592535,4305936,,,592535,4305936,Arkansas,361,21,AR0522,NULL,468,NULL,05-AQ458 LFL# AR05-35 SER Sample Number in related SampleF records MARK column - 3722.00105,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,6/1/05,BLW Bar Ww Ranch,4846,13,613850,4277334,,,613851,4277335,Arkansas,238,49,AR1829,NULL,2541,NO FISH,05-AQ458 LFL# AR05-33 SER Sample Number in related SampleF records MARK column - 3725.00105,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,6/1/05,1 KM BLW CO RD 11,5425,13,598298,4301220,,,598295,4301210,Arkansas,354,9.4,AR1830,NULL,2542,NULL,05-AQ458 LFL# AR05-34 SER Sample Number in related SampleF records MARK column - 3721.00105,NO
NULL,PRESENCE/ABSENCE,32779,NO-NAME STREAM - MILITARY,7/12/05,ABV Fountain Creek BLW Bandley Dr,5521,13,524978,4281286,,,524973,4281272,Arkansas,330,4,AR0135,NULL,876,NA,Water source unkown SER Sample Number in related SampleF records MARK column - 3681.00105,NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,7/12/05,700 M ABV Old Pueblo Rd,5362,13,528465,4273165,,,528465,4273165,Arkansas,370,72.5,AR1834,NULL,1207,4034.00305,SampleF records have SER sample number in Mark column - 4034.00305,NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,7/12/05,BLW Diversion Dam In Clear Spring Ranch Park,5455,13,527039,4277470,,,527105,4277640,Arkansas,80,22.75,AR0319,NA,2003,NA,"2 gravid RDS (100-120mm), fish stacked on lower side dam, undercut banks SER Sample Number in related SampleF records MARK column - 1416.00205.",NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,7/12/05,Clover Ditch - ABV I-25,5793,13,518794,4291832,,,518794,4291830,Arkansas,692,3.94,AR1877,NULL,2004,NA,Habitat degradation SER Sample Number in related SampleF records MARK column - 3682.00105,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,7/12/05,Trib to Fountain Cr. - 125 M BLW Executive Cir N Of El Pomar Park S Of Circle Dr,5808,13,518846,4293734,,,518966,4293745,Arkansas,400,4.8,AR1879,NULL,2846,3680.00105,SampleF records have SER sample number in Mark column - 3680.00105,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,7/12/05,Clover Ditch - BLW Eastmeadow Dr,5863,13,517418,4291514,,,517419,4291516,Arkansas,278,6,AR1876,NULL,4481,NA,Habitat degradation SER Sample Number in related SampleF records MARK column - 3683.00105,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32152,WILD HORSE CREEK,7/12/05,75 M ABV CO RD JJ,3452,13,751462,4220845,,,751462,4220845,Arkansas,NULL,NULL,AR2323,NULL,25327,3706.00205,SampleF records have SER sample number in Mark column - 3706.00205,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32152,WILD HORSE CREEK,7/12/05,200 M BLW LL Rd (EMAP 01-0765),3500,13,751157,4223931,,,751157,4223931,Arkansas,NULL,NULL,AR1662,NULL,26546,3708.00105,SampleF records have SER sample number in Mark column - 3708.00105,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,7/12/05,Trib to Fountain Cr. - 125 M BLW Executive Cir N Of El Pomar Park S Of Circle Dr,5808,13,518846,4293734,,,518966,4293745,Arkansas,400,NULL,AR1879,NULL,39142,NULL,Barrier between Fountain Cr. and trib. Excellent ARD habitat.,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33756,BUFFALO CREEK,7/13/05,ABV CO RD LL,3523,13,737525,4223679,,,737525,4223679,Arkansas,NULL,NULL,AR0607,NULL,26568,41.00505,SampleF records have SER sample number in Mark column - 41.00505,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33756,BUFFALO CREEK,7/14/05,ABV HWY 385,3563,13,735553,4225731,,,735553,4225731,Arkansas,NULL,NULL,AR0018,NULL,24788,37.00505,SampleF records have SER sample number in Mark column - 37.00505,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,7/15/05,Tributary To Monument Creek - 350 M ABV Unnamed Trib In Sonderman Park,6118,13,513822,4301025,,,514673,4300989,Arkansas,305,3.7,AR1889,NULL,1382,NA,"poor water clarity, 38 min efish time, aka mesa crk, very silty substrate w/ woody debris SER Sample Number in related SampleF records MARK column - 3679.00105",NO
NULL,PRESENCE/ABSENCE,31445,SPRING CREEK,7/15/05,175 M ABV E Pikes Peak Ave,6041,13,520562,4298304,,,520581,4298310,Arkansas,220,13.9,AR1898,NULL,2006,NO FISH,"No fish, Habitat suitable, good spring influence SER Sample Number in related SampleF records MARK column - 3685.00105",NO
NULL,PRESENCE/ABSENCE,31445,SPRING CREEK,7/15/05,300 M BLW Airport Rd,5978,13,520686,4297149,,,520692,4297147,Arkansas,66,26.2,AR1909,NULL,2847,NO FISH,"No fish, Habitat looks suitable unknown why fish are absent SER Sample Number in related SampleF records MARK column - 3684.00105",NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,29157,BEAR CREEK,7/15/05,300 M BLW Guaging Sta,6489,13,509883,4297233,,,509883,4297233,Arkansas,165,5.3,AR0384,NULL,25325,3675.00105,SampleF records have SER sample number in Mark column - 3675.00105,NO
NULL,PRESENCE/ABSENCE,29157,BEAR CREEK,7/15/05,Se Of Equestrian Center Lower Trmns BLW Rd Crossing,6033,13,513460,4296743,,,513880,4297089,Arkansas,187,8.4,AR1868,NULL,25368,1652.00205,SampleF records have SER sample number in Mark column - 1652.00205. Fish sample data recorded as length-frequency. Middle length value of bin assigned to fish.,NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,7/15/05,ABV Old Mans Trail BLW El Paso Blvd,6272,13,507732,4300992,,,507732,4300992,Arkansas,170,10.9,AR1871,NULL,25501,3676.00105,SampleF records have SER sample number in Mark column - 3676.00105. 30min electrofishing.,NO
NULL,PRESENCE/ABSENCE,32932,MONUMENT CREEK #2,7/26/05,BLW W Monument Creek,6350,13,514352,4312108,,,514352,4312108,Arkansas,243,11.2,AR0380,NULL,24992,3689.00105,SampleF records have SER sample number in Mark column - 3689.00105. 30 min electrofishing time,NO
NULL,PRESENCE/ABSENCE,33388,CLAY CREEK,7/27/05,ABV CO RD 12 East Of Lamar,3597,13,715766,4217396,,,715766,4217396,Arkansas,NULL,NULL,AR0002,NULL,24551,2.00505,SampleF records have SER sample number in Mark column - 2.00505,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32136,WILLOW CREEK,7/27/05,250 M BLW Fort Bent Canal,3638,13,709204,4216687,,,709214,4216686,Arkansas,NULL,NULL,AR0028,NULL,26654,57.00205,SampleF records have SER sample number in Mark column - 57.00205,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32136,WILLOW CREEK,7/27/05,130 M Abvparmenter St,3611,13,710838,4218091,,,710839,4218090,Arkansas,NULL,NULL,AR0625,NULL,27898,3700.00405,SampleF records have SER sample number in Mark column - 3700.00405,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,8/2/05,Lamar Greenbelt - ABV CO RD HH,3626,13,707630,4217722,,,707630,4217722,Arkansas,NULL,NULL,AR2326,NULL,25117,3709.00105,SampleF records have SER sample number in Mark column - 3709.00105,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,8/2/05,Riverview Ditch - ABV HWY 50,3707,13,698316,4220923,,,698306,4220919,Arkansas,NULL,NULL,AR2320,NULL,25138,3705.00205,SampleF records have SER sample number in Mark column - 3705.00205,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33202,BIG SANDY CREEK #1,8/3/05,75 M ABV HWY 196,3551,13,720559,4221564,,,720559,4221564,Arkansas,NULL,NULL,AR0026,NULL,24609,54.00205,SampleF records have SER sample number in Mark column - 54.00205,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,33202,BIG SANDY CREEK #1,8/3/05,2.3 KM ABV HWY 190,3571,13,720241,4222903,,,720241,4222903,Arkansas,NULL,NULL,AR0426,NULL,24857,3691.00305,SampleF records have SER sample number in Mark column - 3691.00305,NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,9/13/05,Between 8th St & HWY 24,5962,13,513954,4297859,Include?,Method is electrofishing?,513954,4297861,Arkansas,492,15.1,AR0386,NULL,411,"Single Pass, Presence/Absence, BPEF Assumed - HEV","all samples submitted to CDHHE analysis, SE CODE 4033.05",NO
NULL,PRESENCE/ABSENCE,30419,MONUMENT CREEK #1,9/13/05,550 M BLW W Polk St,6063,13,514721,4302110,,,514815,4302124,Arkansas,455,47.8,AR0110,NULL,870,"For lack of information, Assumed BPEF, Single Pass, Presence/Absence - HEV NO FISH","All sand substrate, no pool habitat present, SE CODE 4041.05, UNID JUV 10",NO
NULL,PRESENCE/ABSENCE,32932,MONUMENT CREEK #2,9/13/05,ABV Gauge ABV Woodmen Rd (07103970),6255,13,515969,4309418,,,516227,4309990,Arkansas,328,19.6,AR0166,NULL,999,"Single Pass, Presence/Absence, BPEF Assumed - HEV","Species data combined from two original raw data sheets, SE CODE 4040.05",NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,9/13/05,ABV Diversion @ Gauge,6126,13,510582,4300660,,,510582,4300660,Arkansas,450,16,AR1854,NULL,2545,"Single Pass, Presence/Absence, BPEF Assumed - HEV","No Notes, SE CODE 4032.05",NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,9/14/05,BLW I-25 Business Loop,5899,13,515497,4296366,Include?,Method is electrofishing? ,515496,4296364,Arkansas,330,42.4,AR0550,NULL,104,"Single Pass, Presence/Absence, BPEF Assumed - HEV","samples submitted to CDHHE, SE CODE 4036.05",NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/14/05,ABV HWY 47 Near Hwy 50 Bypass,4731,13,534683,4240064,,,534684,4240064,Arkansas,660,64.8,AR0562,NULL,520,NULL,"60 min shock, island at top .25 of station, poor sampling conditions, SE CODE 4037.05",NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/14/05,ABV Pinon Rd,4993,13,535464,4254691,,,535464,4254691,Arkansas,397,59,AR0147,NULL,722,NULL,"60 shock time, very high turbidity, SE CODE 4039.05, UNID JUV 1",NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/14/05,700 M ABV Old Pueblo Rd,5362,13,528465,4273165,,,528465,4273165,Arkansas,180,92.4,AR1834,NULL,1446,NULL,"No Notes, SE CODE 4034.05",NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,9/14/05,ABV HWY 16,5624,13,523415,4286394,,,523415,4286394,Arkansas,171,98,AR0189,NULL,1912,NO FISH,"60 min shock, severe erosion, SE CODE 4038.05, UNID JUV AT 4",NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,9/14/05,BLW Janitell Rd @ Guage,5837,13,517862,4294862,,,517864,4294865,Arkansas,138,44.5,AR0168,NULL,3359,NULL,"shocked 60 min, early morning flat light, SE CODE 4035.05, UNID JUV 5 AT 0",NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,10/3/05,Between 8th St & HWY 24,5962,13,513954,4297859,,,513954,4297861,Arkansas,492,15.1,AR0386,NULL,25135,1651.00405,SampleF records have SER sample number in Mark column - 1651.00405,NO
NULL,TWO-PASS REMOVAL,29149,BEAVER CREEK,10/6/05,ABV Upper Beaver Creek Rd,6025,13,498153,4268150,,,497860,4267644,Arkansas,100,12,AR2753,NULL,24403,Appears that no fish were captured on pass #2; No gear/effort,A SMITH-ROOT BATTERY BACKPACK ELECTROSHOCKER WAS USED FOR 1.0 HOUR.  A  2-PASS REMOVAL OR DOUBLE PASS DEPLETION WAS USED FOR THIS REACH OF BEAVER CREEK AND WAS APPLIED ONLY TO BROWN TROUT (LOC).  THE FIRST PASS FISH ARE GIVEN E1 STATUS AND THE SECOND PASS FISH ARE GIVEN E2 STATUS.,NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,10/13/05,ABV Diversion @ Gauge,6126,13,510582,4300660,,,510582,4300660,Arkansas,450,16,AR1854,NULL,24793,4032.00305,SampleF records have SER sample number in Mark column - 4032.00305,NO
NULL,PRESENCE/ABSENCE,32932,MONUMENT CREEK #2,10/13/05,ABV Gauge ABV Woodmen Rd (07103970),6255,13,515969,4309418,,,516227,4309990,Arkansas,328,19.6,AR0166,NULL,24899,4040.00305,"SampleF records have SER sample number in Mark column - 4040.00305. Surveyed at gauging station. 2 backpacks, 3 hr total electrofishing. ",NO
NULL,PRESENCE/ABSENCE,30419,MONUMENT CREEK #1,10/13/05,200 M BLW W Bijou St,5970,13,514781,4298520,,,514783,4298519,Arkansas,455,47.8,AR1839,NULL,26814,4041.00305,SampleF records have SER sample number in Mark column - 4041.00305,NO
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,10/13/05,Between 8th St & HWY 24,5962,13,513954,4297859,,,513954,4297861,Arkansas,492,15.1,AR0386,NULL,31952,NA,"L-F data; Drainage area 119 sq. miles, LND, WHS, and LOC submitted to CDPHE for testing",YES
NULL,PRESENCE/ABSENCE,32932,MONUMENT CREEK #2,10/13/05,ABV Gauge ABV Woodmen Rd (07103970),6255,13,515969,4309418,,,516227,4309990,Arkansas,492,19.6,AR0166,NULL,31986,NULL,Drainage area 181 sq. miles,YES
NULL,MARK/RECAPTURE,28983,ARKANSAS R #4,10/13/05,ABV Reynolds Ave,5276,13,481980,4254514,,,481979,4254513,Arkansas,4905,NULL,AR3640,NULL,37858,NULL,Recap pass on 10/18; Fishery could be benefit by increased pool habitat & cover; Numerous additional suckers seen but not collected,NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,10/14/05,BLW Janitell Rd @ Guage,5837,13,517862,4294862,,,517864,4294865,Arkansas,361,44.5,AR0168,NULL,3360,NA,Shocked 55 min each bank for a total of 110 min.   Shocked margins of stream including pool @ upper terminus SER Sample Number in related SampleF records MARK column - 365.00405,NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,10/14/05,700 M ABV Old Pueblo Rd,5362,13,528465,4273165,,,528465,4273165,Arkansas,180,92.4,AR1834,NULL,3680,4034.00405,SampleF records have SER sample number in Mark column - 4034.00405. 1 hr total electrofishing time.,NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,10/14/05,ABV HWY 16,5624,13,523415,4286394,,,523415,4286394,Arkansas,171,98,AR0189,NULL,24697,394.00405,SampleF records have SER sample number in Mark column - 394.00405. Channel realigned due to erosion.,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,29757,FOUNTAIN CREEK #1,10/14/05,200 M BLW HWY 50,4692,13,534807,4237630,,,534809,4237630,Arkansas,660,64.8,AR0720,NULL,24796,4037.00305,SampleF records have SER sample number in Mark column - 4037.00305,NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,10/14/05,BLW I-25 Business Loop,5899,13,515497,4296366,,,515496,4296364,Arkansas,330,42.4,AR0550,NULL,24864,4036.00305,SampleF records have SER sample number in Mark column - 4036.00305. Samples submitted to CDPHE for testing. 1 hr electrofishing with 2 backpacks.,NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,10/14/05,ABV Pinon Rd,4993,13,535464,4254691,,,535464,4254691,Arkansas,397,59,AR0147,NULL,24893,4039.00305,SampleF records have SER sample number in Mark column - 4039.00305. 1 hr total time. Shocked 10ft margin on both sides. Very high turbidity.,NO
NULL,PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,10/14/05,400 M BLW Janitell Rd (USGS 07105530),5828,13,518221,4294592,,,518223,4294595,Arkansas,138,44.5,AR3205,NA,49747,NA,"Shocked for 30 min each bank for a total of 60 min.  Early morning light.  Water quality, sediment, severe flow fluctuations due to wastewater discharges. ",NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/7/06,ABV HWY 101 South Of Las Animas,3886,13,657860,4211065,,,657861,4211064,Arkansas,351,37.7,AR0119,NULL,16,NULL,LFL# AR06-01 SER Sample Number in related SampleF records MARK column - 289.00406,NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/7/06,ABV HWY 109 BLW Beaver Dams on Purgatoire SWA (SE Random #27),4168,13,638141,4180615,,,638153,4180595,Arkansas,207,37.1,AR0295,NULL,1375,NULL,LFL# AR06-02 SER Sample Number in related SampleF records MARK column - 898.00206,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/7/06,250 M BLW Siphon,3905,13,655421,4208379,,,655421,4208379,Arkansas,364,32.5,AR2327,NULL,25502,3734.00106,SampleF records have SER sample number in Mark column - 3734.00106,NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/8/06,ABV HWY 109 BLW Beaver Dams on Purgatoire SWA (SE Random #27),4168,13,638141,4180615,,,638153,4180595,Arkansas,367,32.8,AR0295,NULL,1376,NULL,LFL# AR06-03,NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/8/06,450 M BLW Jack Canyon @ Gauge,4244,13,630962,4175401,,,630961,4175400,Arkansas,174,72.8,AR0307,NULL,3055,NULL,LFL# AR06-04,NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/8/06,425 M BLW Vogel Canyon,4201,13,635048,4179143,,,635048,4179140,Arkansas,436,26.9,AR0306,NULL,3095,NULL,LFL# AR06-05 SER Sample Number in related SampleF records MARK column - 954.00206,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,31461,PURGATOIRE R #1,3/8/06,225 M BLW Nine Mile Dam,4240,13,631401,4175046,,,631402,4175047,Arkansas,172,72.2,AR0551,NULL,24699,955.00206,SampleF records have SER sample number in Mark column - 955.00206,NO
