"","SurveyPurpose","Protocol","Gear","TotalEffort","EffortMetric","WaterID","WaterName","SampleDate","Location","Elevation","UTMZone","UTMX.x","UTMY.x","Basin","StationLength","AvgWidth","StationCode","SiteType","SurveyID","SpeciesCode","Status","NewStatus","sameStatus","Catch","Source","mySurveyID","reachid","pointid","grid_code","elevation","gradient","cropsCount","dvlpdCount","wtlndsCoun","UTMX.y","UTMY.y","slope100m","Z","OBJECTID_1","Permanent_","GNIS_ID","GNIS_Name","ReachCode","WBArea_Per","FType","FCode","OBJECTID","FEATURE","CODE","NAME1","STRAHLER","Line_Sourc","StreamType","FountainCr","ReservoirL","RCA_ID","Shape_Leng","StreamSize","Percent","Degrees","MAIN","PURG","geometry"
"11","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"FHC","E1","E1","E1","24","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"12","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"WHS","E1","E1","E1","9","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"13","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"RDS","E1","E1","E1","3","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"14","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"SAH","E1","E1","E1","2","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"15","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"LGS","E1","E1","E1","1","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"16","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"CRC","E1","E1","E1","1","Non-USGS","528465_12-Jul-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"17","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","NO-NAME STREAM - MILITARY","12-Jul-05","ABV Fountain Creek BLW Bandley Dr",5521,"13",524978,4281286,"Arkansas","330","4","AR0135","---",876,"FMW","E1","E1","E1","1","Non-USGS","524978_12-Jul-2005",1665,10651,1665,1685,1.37736749649,0,134,30,524987,4281292,0,1685,1665,"1530223",NA,NA,"11020003000886",NA,460,46003,0,NA,0,NA,0,"ADDED","CONNECT","YES","between",1582,726.961344619,1,18.5704509599,0.183612875972,"NO","NO",c(524987, 4281292)
"18","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","NO-NAME STREAM - MILITARY","12-Jul-05","ABV Fountain Creek BLW Bandley Dr",5521,"13",524978,4281286,"Arkansas","330","4","AR0135","---",876,"STR","E1","E1","E1","1","Non-USGS","524978_12-Jul-2005",1665,10651,1665,1685,1.37736749649,0,134,30,524987,4281292,0,1685,1665,"1530223",NA,NA,"11020003000886",NA,460,46003,0,NA,0,NA,0,"ADDED","CONNECT","YES","between",1582,726.961344619,1,18.5704509599,0.183612875972,"NO","NO",c(524987, 4281292)
"19","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - BLW Eastmeadow Dr",5863,"13",517418,4291514,"Arkansas","278","6","AR1876","---",4481,"LND","E1","E1","E1","1","Non-USGS","517418_12-Jul-2005",177,8566,177,1790,1.37736749649,1,265,12,517387,4291492,0,1790,177,NA,NA,NA,NA,NA,0,0,23409,"Perennial Stream",0,NA,1,"ua_annotated","CONNECT","YES","between",85,2818.97179916,1,1.13516566606,0.0113511691064,"NO","NO",c(517387, 4291492)
"20","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"LND","E1","E1","E1","37","Non-USGS","518794_12-Jul-2005",2119,8526,2119,1770,1.63273894787,1,158,45,518787,4291792,0,1770,2119,NA,NA,NA,NA,NA,0,0,23407,"Perennial Stream",0,NA,2,"ua_annotated","CONNECT","YES","between",2039,828.065919047,1,43.8370897353,0.413141190466,"NO","NO",c(518787, 4291792)
"21","---","PRESENCE/ABSENCE","BPEF","1","PASS","33990","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"FMW","E1","E1","E1","13","Non-USGS","518794_12-Jul-2005",2119,8526,2119,1770,1.63273894787,1,158,45,518787,4291792,0,1770,2119,NA,NA,NA,NA,NA,0,0,23407,"Perennial Stream",0,NA,2,"ua_annotated","CONNECT","YES","between",2039,828.065919047,1,43.8370897353,0.413141190466,"NO","NO",c(518787, 4291792)
"22","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"WHS","E1","E1","E1","1","Non-USGS","518794_12-Jul-2005",2119,8526,2119,1770,1.63273894787,1,158,45,518787,4291792,0,1770,2119,NA,NA,NA,NA,NA,0,0,23407,"Perennial Stream",0,NA,2,"ua_annotated","CONNECT","YES","between",2039,828.065919047,1,43.8370897353,0.413141190466,"NO","NO",c(518787, 4291792)
"23","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","SPRING CREEK","15-Jul-05","175 M ABV E Pikes Peak Ave",6041,"13",520562,4298304,"Arkansas","220","13.9","AR1898","---",2006,"---","---","E1","E1","---","Non-USGS","520562_15-Jul-2005",1137,7440,1137,1847,2.33048319817,0,297,10,520587,4298292,0,1847,1137,"1529735","00193536","Spring Creek","11020003000278",NA,460,46003,0,NA,0,NA,0,NA,"CONNECT","YES","between",1049,3726.69768575,1,3.62251009832,0.0362092678888,"NO","NO",c(520587, 4298292)
"24","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","SPRING CREEK","15-Jul-05","300 M BLW Airport Rd",5978,"13",520686,4297149,"Arkansas","66","26.2","AR1909","---",2847,"---","---","E1","E1","---","Non-USGS","520686_15-Jul-2005",1137,7692,1137,1825,1.72431063652,0,262,11,520687,4297192,0,1825,1137,"1529735","00193536","Spring Creek","11020003000278",NA,460,46003,0,NA,0,NA,0,NA,"CONNECT","YES","between",1049,3726.69768575,1,3.62251009832,0.0362092678888,"NO","NO",c(520687, 4297192)
"25","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"CRC","E1","E1","E1","121","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"26","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LND","E1","E1","E1","86","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"27","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LMB","E1","E1","E1","24","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"28","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LGS","E1","E1","E1","24","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"29","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"WHS","E1","E1","E1","17","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"30","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"FMW","E1","E1","E1","5","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"31","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"BRK","E1","E1","E1","2","Non-USGS","514352_26-Jul-2005",45,3793,45,1939,0.101285479963,0,32,14,514387,4312092,0,1939,45,"1529505","00193535","Monument Creek","11020003000219",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1309.72486544,1,10.3075083602,0.102712353622,"NO","NO",c(514387, 4312092)
"32","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"LND","E1","E1","E1","12","Non-USGS","513954_13-Sep-2005",2453,7522,2453,1820,1.2194558382,0,277,2,513987,4297892,0,1820,2453,NA,NA,NA,NA,NA,0,0,23334,"Perennial Stream",32792,"Fountain Creek",4,"ua_annotated","CONNECT","YES","between",2374,1551.11401552,1,9.54152941171,0.0951273094841,"NO","NO",c(513987, 4297892)
"33","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"WHS","E1","E1","E1","7","Non-USGS","513954_13-Sep-2005",2453,7522,2453,1820,1.2194558382,0,277,2,513987,4297892,0,1820,2453,NA,NA,NA,NA,NA,0,0,23334,"Perennial Stream",32792,"Fountain Creek",4,"ua_annotated","CONNECT","YES","between",2374,1551.11401552,1,9.54152941171,0.0951273094841,"NO","NO",c(513987, 4297892)
"34","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"LOC","E1","E1","E1","1","Non-USGS","513954_13-Sep-2005",2453,7522,2453,1820,1.2194558382,0,277,2,513987,4297892,0,1820,2453,NA,NA,NA,NA,NA,0,0,23334,"Perennial Stream",32792,"Fountain Creek",4,"ua_annotated","CONNECT","YES","between",2374,1551.11401552,1,9.54152941171,0.0951273094841,"NO","NO",c(513987, 4297892)
"35","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Sep-05","550 M BLW W Polk St",6063,"13",514721,4302110,"Arkansas","455","47.8","AR0110","---",870,"---","---","E1","E1","---","Non-USGS","514721_13-Sep-2005",769,6352,769,1848,0.716159939766,0,267,24,514787,4302092,0,1848,769,"1529719","00193535","Monument Creek","11020003000208",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",680,6248.89294352,1,2.1603826665,0.0216004665882,"NO","NO",c(514787, 4302092)
"36","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"CRC","E1","E1","E1","650","Non-USGS","515969_13-Sep-2005",39,4409,39,1921,5.84805583954,0,160,23,515987,4309392,0,1921,39,"1529541","00193535","Monument Creek","11020003000216",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1438.78803416,1,9.38289704912,0.0935550630457,"NO","NO",c(515987, 4309392)
"37","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"LND","E1","E1","E1","115","Non-USGS","515969_13-Sep-2005",39,4409,39,1921,5.84805583954,0,160,23,515987,4309392,0,1921,39,"1529541","00193535","Monument Creek","11020003000216",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1438.78803416,1,9.38289704912,0.0935550630457,"NO","NO",c(515987, 4309392)
"38","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"WHS","E1","E1","E1","45","Non-USGS","515969_13-Sep-2005",39,4409,39,1921,5.84805583954,0,160,23,515987,4309392,0,1921,39,"1529541","00193535","Monument Creek","11020003000216",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1438.78803416,1,9.38289704912,0.0935550630457,"NO","NO",c(515987, 4309392)
"39","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"FMW","E1","E1","E1","38","Non-USGS","515969_13-Sep-2005",39,4409,39,1921,5.84805583954,0,160,23,515987,4309392,0,1921,39,"1529541","00193535","Monument Creek","11020003000216",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1438.78803416,1,9.38289704912,0.0935550630457,"NO","NO",c(515987, 4309392)
"40","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"LGS","E1","E1","E1","19","Non-USGS","515969_13-Sep-2005",39,4409,39,1921,5.84805583954,0,160,23,515987,4309392,0,1921,39,"1529541","00193535","Monument Creek","11020003000216",NA,460,46006,0,NA,0,NA,0,NA,"CONNECT","YES","between",0,1438.78803416,1,9.38289704912,0.0935550630457,"NO","NO",c(515987, 4309392)
"41","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"FHC","E1","E1","E1","235","Non-USGS","528465_14-Sep-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"42","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"LND","E1","E1","E1","22","Non-USGS","528465_14-Sep-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"43","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"WHS","E1","E1","E1","9","Non-USGS","528465_14-Sep-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"44","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"SAH","E1","E1","E1","9","Non-USGS","528465_14-Sep-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
"45","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"LGS","E1","E1","E1","5","Non-USGS","528465_14-Sep-2005",5404,12534,5404,1635,0.101285479963,19,11,55,528487,4273192,0,1635,5404,NA,NA,NA,NA,NA,0,0,24335,"Artificial Flow Path",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",5349,1945.18738672,3,0.257044644343,0.00257044078231,"NO","NO",c(528487, 4273192)
