"","SurveyPurpose","Protocol","Gear","TotalEffort","EffortMetric","WaterID","WaterName","SampleDate","Location","Elevation","UTMZone","UTMX","UTMY","Basin","StationLength","AvgWidth","StationCode","SiteType","SurveyID","SpeciesCode","Status","NewStatus","sameStatus","Catch","Source","mySurveyID"
"34","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"LOC","E1","E1","E1","1","Non-USGS","513954_13-Sep-2005"
"35","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Sep-05","550 M BLW W Polk St",6063,"13",514721,4302110,"Arkansas","455","47.8","AR0110","---",870,"---","---","E1","E1","---","Non-USGS","514721_13-Sep-2005"
"36","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"CRC","E1","E1","E1","650","Non-USGS","515969_13-Sep-2005"
"37","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"LND","E1","E1","E1","115","Non-USGS","515969_13-Sep-2005"
"38","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"WHS","E1","E1","E1","45","Non-USGS","515969_13-Sep-2005"
"39","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"FMW","E1","E1","E1","38","Non-USGS","515969_13-Sep-2005"
"40","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","13-Sep-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","328","19.6","AR0166","---",999,"LGS","E1","E1","E1","19","Non-USGS","515969_13-Sep-2005"
"41","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"FHC","E1","E1","E1","235","Non-USGS","528465_14-Sep-2005"
"42","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"LND","E1","E1","E1","22","Non-USGS","528465_14-Sep-2005"
"43","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"WHS","E1","E1","E1","9","Non-USGS","528465_14-Sep-2005"
"44","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"SAH","E1","E1","E1","9","Non-USGS","528465_14-Sep-2005"
"45","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"LGS","E1","E1","E1","5","Non-USGS","528465_14-Sep-2005"
"46","---","PRESENCE/ABSENCE","EF","1","PASS","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","180","92.4","AR1834","---",1446,"RDS","E1","E1","E1","1","Non-USGS","528465_14-Sep-2005"
"47","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"FHC","E1","E1","E1","89","Non-USGS","534683_14-Sep-2005"
"48","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"SAH","E1","E1","E1","22","Non-USGS","534683_14-Sep-2005"
"49","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"PKF","E1","E1","E1","16","Non-USGS","534683_14-Sep-2005"
"50","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"STR","E1","E1","E1","7","Non-USGS","534683_14-Sep-2005"
"51","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"RDS","E1","E1","E1","6","Non-USGS","534683_14-Sep-2005"
"52","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"WHS","E1","E1","E1","5","Non-USGS","534683_14-Sep-2005"
"53","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"FMW","E1","E1","E1","3","Non-USGS","534683_14-Sep-2005"
"54","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"LND","E1","E1","E1","2","Non-USGS","534683_14-Sep-2005"
"55","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV HWY 47 Near Hwy 50 Bypass",4731,"13",534683,4240064,"Arkansas","660","64.8","AR0562","---",520,"BST","E1","E1","E1","1","Non-USGS","534683_14-Sep-2005"
"56","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"FHC","E1","E1","E1","114","Non-USGS","535464_14-Sep-2005"
"57","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"STR","E1","E1","E1","84","Non-USGS","535464_14-Sep-2005"
"58","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"WHS","E1","E1","E1","31","Non-USGS","535464_14-Sep-2005"
"59","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"BST","E1","E1","E1","21","Non-USGS","535464_14-Sep-2005"
"60","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"SAH","E1","E1","E1","12","Non-USGS","535464_14-Sep-2005"
"61","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"RDS","E1","E1","E1","11","Non-USGS","535464_14-Sep-2005"
"62","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"LGS","E1","E1","E1","4","Non-USGS","535464_14-Sep-2005"
"63","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"LND","E1","E1","E1","4","Non-USGS","535464_14-Sep-2005"
"64","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"FMW","E1","E1","E1","3","Non-USGS","535464_14-Sep-2005"
"65","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #2","14-Sep-05","ABV Pinon Rd",4993,"13",535464,4254691,"Arkansas","397","59","AR0147","---",722,"ARD","E1","E1","E1","1","Non-USGS","535464_14-Sep-2005"
"66","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"LND","E1","E1","E1","29","Non-USGS","515497_14-Sep-2005"
"67","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"LOC","E1","E1","E1","14","Non-USGS","515497_14-Sep-2005"
"68","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"WHS","E1","E1","E1","12","Non-USGS","515497_14-Sep-2005"
"69","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"LGS","E1","E1","E1","8","Non-USGS","515497_14-Sep-2005"
"70","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"CRC","E1","E1","E1","7","Non-USGS","515497_14-Sep-2005"
"71","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"FHC","E1","E1","E1","6","Non-USGS","515497_14-Sep-2005"
"72","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW I-25 Business Loop",5899,"13",515497,4296366,"Arkansas","330","42.4","AR0550","---",104,"FMW","E1","E1","E1","1","Non-USGS","515497_14-Sep-2005"
"73","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW Janitell Rd @ Guage",5837,"13",517862,4294862,"Arkansas","138","44.5","AR0168","---",3359,"LND","E1","E1","E1","100","Non-USGS","517862_14-Sep-2005"
"74","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW Janitell Rd @ Guage",5837,"13",517862,4294862,"Arkansas","138","44.5","AR0168","---",3359,"LGS","E1","E1","E1","3","Non-USGS","517862_14-Sep-2005"
"75","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW Janitell Rd @ Guage",5837,"13",517862,4294862,"Arkansas","138","44.5","AR0168","---",3359,"FHC","E1","E1","E1","3","Non-USGS","517862_14-Sep-2005"
"76","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW Janitell Rd @ Guage",5837,"13",517862,4294862,"Arkansas","138","44.5","AR0168","---",3359,"WHS","E1","E1","E1","2","Non-USGS","517862_14-Sep-2005"
"77","---","PRESENCE/ABSENCE","BPEF","1","HOUR","00:00.0","FOUNTAIN CREEK #3","14-Sep-05","BLW Janitell Rd @ Guage",5837,"13",517862,4294862,"Arkansas","138","44.5","AR0168","---",3359,"FMW","E1","E1","E1","1","Non-USGS","517862_14-Sep-2005"
"78","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Oct-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",31952,"LND","E1","E1","E1","20","USGS","513954_13-Oct-2005"
"79","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Oct-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",31952,"WHS","E1","E1","E1","11","USGS","513954_13-Oct-2005"
"80","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Oct-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",31952,"LOC","E1","E1","E1","2","USGS","513954_13-Oct-2005"
"81","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"CRC","E1","E1","E1","48","Non-USGS","514781_13-Oct-2005"
"82","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"LND","E1","E1","E1","36","Non-USGS","514781_13-Oct-2005"
"83","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"OTS","E1","E1","E1","10","Non-USGS","514781_13-Oct-2005"
"84","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"FMW","E1","E1","E1","9","Non-USGS","514781_13-Oct-2005"
"85","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"SAH","E1","E1","E1","6","Non-USGS","514781_13-Oct-2005"
"86","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #1","13-Oct-05","200 M BLW W Bijou St",5970,"13",514781,4298520,"Arkansas","455","47.8","AR1839","---",26814,"WHS","E1","E1","E1","5","Non-USGS","514781_13-Oct-2005"
"87","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","MONUMENT CREEK #2","13-Oct-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","492","19.6","AR0166","---",31986,"CRC","E1","E1","E1","650","USGS","515969_13-Oct-2005"
"88","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","MONUMENT CREEK #2","13-Oct-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","492","19.6","AR0166","---",31986,"LND","E1","E1","E1","115","USGS","515969_13-Oct-2005"
"89","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","MONUMENT CREEK #2","13-Oct-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","492","19.6","AR0166","---",31986,"FMW","E1","E1","E1","56","USGS","515969_13-Oct-2005"
"90","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","MONUMENT CREEK #2","13-Oct-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","492","19.6","AR0166","---",31986,"WHS","E1","E1","E1","45","USGS","515969_13-Oct-2005"
"91","---","PRESENCE/ABSENCE","Electrofishing","1","PASS","00:00.0","MONUMENT CREEK #2","13-Oct-05","ABV Gauge ABV Woodmen Rd (07103970)",6255,"13",515969,4309418,"Arkansas","492","19.6","AR0166","---",31986,"LGS","E1","E1","E1","19","USGS","515969_13-Oct-2005"
"92","Species Presence, Community Composition and Relative Abundance","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #1","14-Oct-05","200 M BLW HWY 50",4692,"13",534807,4237630,"Arkansas","660","64.8","AR0720","---",24796,"FHC","E1","E1","E1","89","Non-USGS","534807_14-Oct-2005"
"93","Species Presence, Community Composition and Relative Abundance","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #1","14-Oct-05","200 M BLW HWY 50",4692,"13",534807,4237630,"Arkansas","660","64.8","AR0720","---",24796,"SAH","E1","E1","E1","22","Non-USGS","534807_14-Oct-2005"
